pcol   Z        age    Mu       Mb       Mv       Mr       Mi       Mj       Mh       Mk       Ml       Mlp      Mm       Mg2      Vb-Ib    Rb-Ib    B-V      R-I      V-I      V-K     KzUbar   KzBbar   KzVbar   KzR_Jbar KzI_Jbar KzJbar   KzHbar   KzKbar   336W     439W     555W     675W     702W     785LP    368M     413M     492M     547M     648M     718M     875M     284W     tonryU   tonryB   tonryV   tonryR   tonryI   RG695v   RG9r     RG780i   RG850    RG1000  sq750    sq800    sq850    sq900    160W     300W     336W     546W     555W     606W     814W (555-814)ord (555-814)SBF (V-I)SBF Kp_bar H-K     H-Kp    STIS_LPbar  NIC_110wbar  NIC_160Wbar
40.23 0.01690  1.00   2.1555   1.8978   1.9205   0.7622  -0.1427  -1.8562  -6.0238  -7.1959  -7.6863  -7.9214  -8.1551   0.1223   2.0632   0.9049   0.6276   0.4661   0.8635   2.8406  -8.3964  -7.6134   2.1168   1.8718   0.7273  -0.5009  -2.9826  -5.9450  -7.5691  -7.7768   2.1116   1.9656   0.8066  -0.2546  -0.5074  -3.2682   2.0779   2.2382   1.2971   0.7765  -0.1440  -0.7018  -2.8227   2.1495   2.1688   1.8255   0.7792  -0.1859  -2.4671  -2.1796  -2.3829  -2.9244  -3.5526  -4.3145   5.3974   5.1281  -1.0465  -1.7764  -2.4643  -3.2169  -1.1256   2.2047   2.1234   0.8572  -3.2490   2.0632   0.7454   0.2061   0.1981   0.8264   0.3525  -1.7342
40.33 0.01690  2.00   2.6792   2.2227   2.2514   0.8455  -0.1410  -1.5777  -5.2905  -6.3715  -6.8818  -7.1181  -7.4639   0.1675   2.3924   0.9865   0.7907   0.5466   1.0341   3.0529  -7.7637  -6.7326   2.6255   2.2020   0.8124  -0.4697  -2.4052  -5.1736  -6.6887  -6.9418   2.6409   2.3200   0.8915  -0.2615  -0.4819  -2.6261   2.5744   2.6767   1.5115   0.8604  -0.1586  -0.6457  -2.3071   1.8729   2.7032   2.1359   0.8662  -0.1858  -1.9771  -1.7579  -1.9292  -2.3569  -2.8601  -3.5354   5.7319   5.5738  -0.9589  -1.5317  -2.0479  -2.5876  -3.0622   2.2822   2.6342   1.0228  -5.6964   2.3924   0.8243   0.1843   0.1702   0.9120   0.3765  -1.4423
40.52 0.01690  5.01   2.5017   2.5308   2.5510   1.2832   0.3331  -1.1271  -4.8527  -5.8875  -6.4015  -6.6658  -7.0445   0.2204   2.2178   0.9501   0.9356   0.5989   1.1481   3.2449  -7.3604  -6.2225   2.4466   2.5020   1.2498   0.0058  -1.9865  -4.7194  -6.1791  -6.4865   2.4899   2.6251   1.3266   0.2220  -0.0018  -2.2115   2.4378   2.8181   1.9277   1.2967   0.3235  -0.1657  -1.8890   1.2122   2.5395   2.4751   1.3032   0.2908  -1.5515  -1.3249  -1.4997  -1.9385  -2.4478  -3.1106   5.3568   5.7705  -0.4767  -1.0735  -1.6221  -2.1807  -4.2765   1.7847   2.4583   1.1357  -6.7348   2.2178   1.2621   0.1828   0.1677   1.3458   0.8331  -0.9941
40.74 0.01690 10.00   2.6643   2.9586   2.9872   1.5693   0.6226  -0.8123  -4.5229  -5.5559  -6.0589  -6.3336  -6.7079   0.2510   2.3646   0.9467   1.0000   0.6157   1.1921   3.3136  -7.0267  -5.8825   2.6861   2.9376   1.5360   0.3007  -1.6812  -4.3916  -5.8390  -6.1541   2.2645   3.0750   1.6146   0.5132   0.2939  -1.9084   2.7107   3.4282   2.2454   1.5829   0.6121   0.1340  -1.5746   0.5176   2.7002   2.8772   1.5897   0.5808  -1.2456  -1.0184  -1.1912  -1.6314  -2.1467  -2.8144   5.9880   6.3650  -0.1715  -0.7595  -1.3029  -1.8754  -4.9629   1.2534   2.1929   1.1794  -7.1558   2.3646   1.5479   0.1796   0.1649   1.6342   1.1177  -0.6850
40.97 0.01690 17.38   1.9932   2.7822   2.8024   1.5791   0.7091  -0.6295  -3.9674  -5.0627  -5.4998  -5.7378  -6.0109   0.2803   2.0933   0.8700   1.0645   0.6335   1.2385   3.3343  -6.3042  -5.4010   2.0319   2.7540   1.5447   0.4087  -1.4166  -3.8865  -5.3570  -5.5840   1.5079   2.8790   1.6237   0.6042   0.4041  -1.6345   2.0711   3.0645   2.1795   1.5927   0.6947   0.2525  -1.3412  -0.4645   2.0371   2.7291   1.5975   0.6694  -1.0129  -0.8068  -0.9735  -1.3832  -1.8638  -2.4722   5.3436   6.0097  -0.0331  -0.5829  -1.0908  -1.6191  -4.3145   0.3607   1.4238   1.2248  -5.7382   2.0933   1.5609   0.1638   0.1610   1.6426   1.1673  -0.5046
50.23 0.04245  1.00   2.4525   2.2660   2.2885   1.1416   0.3405  -0.8022  -6.0154  -7.1138  -7.7940  -8.0300  -8.4643   0.1717   1.9480   0.8012   0.7642   0.4634   0.9187   3.0738  -8.7673  -7.5586   2.4108   2.2403   1.1071   0.0913  -1.9805  -5.8154  -7.5115  -7.8302   2.3989   2.3332   1.1822   0.2344   0.0879  -2.2049   2.3559   2.6046   1.6747   1.1521   0.3113  -0.0484  -1.6679   2.0825   2.4741   2.1882   1.1571   0.3021  -1.4268  -1.1300  -1.2839  -1.8137  -2.4629  -3.3764   5.6513   5.4928  -0.2756  -0.7505  -1.2968  -2.0751  -2.9786   2.3331   2.4077   0.9159  -5.3862   1.9480   1.1199   0.2771   0.2157   1.1999   0.7564  -0.7289
50.33 0.04245  2.00   2.5670   2.5680   2.5875   1.3472   0.4511  -0.9344  -6.0266  -7.0484  -7.7666  -8.0458  -8.5112   0.2321   2.1364   0.8961   0.9302   0.5880   1.1319   3.6808  -8.8162  -7.4731   2.5005   2.5390   1.3140   0.1549  -2.1268  -5.7943  -7.4279  -7.8358   2.5737   2.6554   1.3905   0.3558   0.1526  -2.3434   2.4622   2.8369   1.9822   1.3555   0.4438   0.0106  -1.8494   1.3020   2.6065   2.5078   1.3660   0.4132  -1.5759  -1.2716  -1.4371  -1.9697  -2.5895  -3.4333   5.4009   5.7806  -0.2762  -0.8674  -1.4848  -2.2420  -4.7637   1.8929   2.5522   1.1215  -7.3159   2.1364   1.3199   0.3131   0.2350   1.4080   0.9219  -0.8411
50.52 0.04245  5.01   2.0182   2.2664   2.2656   1.5644   0.7943  -0.4389  -5.0182  -6.0291  -6.7205  -7.0119  -7.4986   0.2939   1.4713   0.7701   1.0653   0.6283   1.2305   3.6588  -7.8404  -6.4271   1.8863   2.2201   1.5292   0.5269  -1.4349  -4.7965  -6.3822  -6.7979   2.3673   2.2923   1.6007   0.7099   0.5283  -1.6418   1.8482   2.1522   2.0293   1.5712   0.7867   0.3997  -1.2291   0.6707   2.0758   2.2735   1.5795   0.7602  -0.9527  -0.6983  -0.8540  -1.3198  -1.8748  -2.6391   4.3925   5.1000   0.1363  -0.3896  -0.9215  -1.5659  -5.3554   1.4481   2.3513   1.2177  -7.7067   1.4713   1.5422   0.2580   0.2109   1.6152   1.2101  -0.3418
50.74 0.04245 10.00   1.9547   3.2238   3.2386   1.9920   1.1171  -0.1195  -4.3630  -5.3687  -6.0022  -6.2780  -6.7475   0.3391   2.1215   0.8749   1.1461   0.6537   1.2932   3.6689  -7.1022  -5.7409   1.9981   3.1909   1.9589   0.8398  -1.0210  -4.1672  -5.6972  -6.0704   1.4224   3.3201   2.0377   1.0286   0.8384  -1.2207   2.0349   3.3533   2.6651   1.9998   1.1111   0.7073  -0.8542  -0.7160   1.9989   3.1844   2.0116   1.0810  -0.5737  -0.3420  -0.4950  -0.9279  -1.4449  -2.1594   5.2883   6.3355   0.4374  -0.0776  -0.5759  -1.1582  -5.1227   0.2045   1.3480   1.2780  -6.4707   2.1215   1.9643   0.2298   0.1974   2.0549   1.5735  -0.0165
50.97 0.04245 17.38   0.7256   1.7978   1.7779   1.6848   1.0676  -0.0120  -3.8268  -4.8485  -5.4136  -5.6421  -6.0739   0.3655   0.7103   0.6172   1.1815   0.6544   1.3084   3.5767  -6.4329  -5.2138   0.6594   1.7338   1.6468   0.8291  -0.7957  -3.6723  -5.1712  -5.4567   0.6279   1.7837   1.7097   0.9910   0.8337  -0.9861   0.6793   1.3499   1.9259   1.6943   1.0562   0.7179  -0.6721  -1.5292   0.7793   1.8791   1.6944   1.0369  -0.3940  -0.1930  -0.3373  -0.7270  -1.2011  -1.8538   3.2948   4.3170   0.4798   0.0215  -0.4238  -0.9424  -4.1536  -0.5834   0.5714   1.2927  -4.7250   0.7103   1.6733   0.2020   0.1869   1.7208   1.4170   0.0875
