 extinction:   0.   HB life, lum:    1.05000  0.
 pcol      Ux    Bx      B       V      Rc      Ic     J       H       K       L      Lprime    M       U-B     B-V    V-R    V-I    V-J     V-H     V-K    V-L     V-Lprime    V-M
91.99   1.023   0.924   0.934   0.457   0.111  -0.355  -1.114  -1.807  -1.940  -2.094  -2.099  -2.093   0.099   0.477   0.346   0.811   1.571   2.264   2.397   2.550   2.555   2.550
91.99   1.277   1.184   1.199   0.523   0.080  -0.445  -1.249  -1.952  -2.078  -2.227  -2.232  -2.188   0.093   0.676   0.443   0.968   1.772   2.475   2.601   2.750   2.755   2.710
91.99   1.447   1.310   1.327   0.542   0.057  -0.488  -1.298  -1.996  -2.117  -2.262  -2.265  -2.198   0.138   0.785   0.486   1.030   1.840   2.539   2.659   2.804   2.808   2.741
91.99   1.587   1.379   1.399   0.551   0.040  -0.515  -1.319  -2.015  -2.127  -2.268  -2.268  -2.182   0.208   0.849   0.510   1.065   1.870   2.566   2.678   2.819   2.818   2.732
91.99   1.666   1.402   1.424   0.539   0.016  -0.537  -1.318  -2.004  -2.105  -2.238  -2.233  -2.124   0.264   0.884   0.523   1.076   1.857   2.543   2.644   2.777   2.773   2.663
30.23   1.132   1.007   1.018   0.497   0.142  -0.333  -1.205  -1.912  -2.075  -2.239  -2.264  -2.288   0.126   0.521   0.355   0.830   1.702   2.409   2.572   2.736   2.761   2.785
30.33   1.437   1.306   1.322   0.593   0.131  -0.405  -1.329  -2.056  -2.207  -2.361  -2.400  -2.373   0.132   0.729   0.462   0.998   1.922   2.649   2.800   2.955   2.993   2.966
30.52   1.639   1.429   1.448   0.626   0.125  -0.438  -1.368  -2.098  -2.244  -2.399  -2.437  -2.411   0.211   0.822   0.501   1.064   1.994   2.724   2.870   3.025   3.063   3.037
30.74   1.894   1.562   1.585   0.679   0.141  -0.454  -1.402  -2.146  -2.287  -2.444  -2.474  -2.439   0.332   0.906   0.537   1.132   2.081   2.824   2.966   3.123   3.153   3.117
30.97   2.002   1.595   1.619   0.677   0.126  -0.480  -1.393  -2.135  -2.264  -2.418  -2.422  -2.367   0.407   0.942   0.551   1.157   2.070   2.812   2.941   3.095   3.099   3.044
40.23   1.345   1.193   1.208   0.580   0.183  -0.283  -1.342  -2.054  -2.260  -2.423  -2.490  -2.530   0.152   0.628   0.397   0.863   1.922   2.634   2.841   3.003   3.070   3.111
40.33   1.684   1.470   1.489   0.698   0.211  -0.336  -1.426  -2.170  -2.355  -2.514  -2.590  -2.598   0.214   0.791   0.488   1.034   2.124   2.869   3.053   3.212   3.288   3.296
40.52   2.125   1.720   1.744   0.809   0.259  -0.339  -1.490  -2.253  -2.436  -2.602  -2.677  -2.686   0.405   0.936   0.549   1.148   2.299   3.062   3.245   3.411   3.486   3.494
40.74   2.350   1.825   1.852   0.852   0.275  -0.340  -1.511  -2.282  -2.462  -2.628  -2.702  -2.708   0.525   1.000   0.576   1.192   2.363   3.134   3.314   3.479   3.554   3.559
40.97   2.573   1.914   1.943   0.878   0.273  -0.360  -1.513  -2.292  -2.456  -2.615  -2.668  -2.651   0.659   1.065   0.605   1.239   2.391   3.170   3.334   3.493   3.546   3.529
50.23   1.678   1.391   1.410   0.646   0.190  -0.273  -1.454  -2.151  -2.428  -2.589  -2.747  -2.807   0.287   0.764   0.455   0.919   2.100   2.797   3.074   3.234   3.392   3.453
50.33   2.372   1.900   1.925   0.994   0.450  -0.138  -1.599  -2.373  -2.686  -2.874  -3.056  -3.137   0.472   0.930   0.544   1.132   2.593   3.368   3.681   3.868   4.051   4.132
50.52   2.800   2.059   2.088   1.023   0.421  -0.208  -1.601  -2.378  -2.636  -2.813  -2.949  -2.987   0.740   1.065   0.602   1.231   2.624   3.401   3.659   3.836   3.972   4.010
50.74   3.109   2.168   2.200   1.054   0.414  -0.240  -1.606  -2.385  -2.615  -2.785  -2.896  -2.907   0.941   1.146   0.640   1.293   2.659   3.439   3.669   3.838   3.950   3.961
50.97   3.228   2.167   2.201   1.019   0.365  -0.289  -1.585  -2.356  -2.558  -2.717  -2.799  -2.780   1.061   1.181   0.654   1.308   2.604   3.375   3.577   3.736   3.818   3.799
