( Z, Y, Age) = 0.004988   0.242  10.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 -3.00  0.6088E+01   0.785      1.00  0.7833E+02   1.894     -3.00  0.0000E+00   0.000
 -3.25  0.5453E+01   0.737      0.75  0.2295E+03   2.361     -3.25  0.0000E+00   0.000
 -3.50  0.4810E+01   0.682      0.50  0.4070E+03   2.610     -3.50  0.0000E+00   0.000
 -3.75  0.1427E+01   0.154      0.25  0.4537E+02   1.657     -3.75  0.0000E+00   0.000
 -4.00  0.5434E+00  -0.265      0.00  0.3746E+02   1.574     -4.00  0.0000E+00   0.000
 -4.25  0.4447E+00  -0.352     -0.25  0.3154E+02   1.499     -4.25  0.0000E+00   0.000
 -4.50  0.3527E+00  -0.453     -0.50  0.2619E+02   1.418     -4.50  0.0000E+00   0.000
 -4.75  0.5439E-01  -1.264     -0.75  0.2133E+02   1.329     -4.75  0.0000E+00   0.000
 -5.00  0.0000E+00   0.000     -1.00  0.1794E+02   1.254     -5.00  0.0000E+00   0.000
 -5.25  0.0000E+00   0.000     -1.25  0.1476E+02   1.169     -5.25  0.0000E+00   0.000
 -5.50  0.0000E+00   0.000     -1.50  0.1675E+02   1.224     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.1066E+02   1.028     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.2866E-01  -1.543     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.0000E+00   0.000     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.0000E+00   0.000     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.1946E+06   5.289     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.1302E+06   5.114     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.1361E+06   5.134     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.1391E+06   5.143     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.1179E+06   5.072     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00  0.1233E+06   5.091     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.1274E+06   5.105     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50 -0.2822E+05   0.000     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.3104E+06   5.492     -8.75  0.0000E+00   0.000
 -9.00  0.0000E+00   0.000     -5.00  0.1170E+06   5.068     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25  0.1114E+06   5.047     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50 -0.6601E+05   0.000     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.004988   0.242  17.783
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.0000E+00   0.000     16.75  0.0000E+00   0.000     12.75  0.3078E+06   5.488
 12.50  0.2066E+06   5.315     16.50  0.0000E+00   0.000     12.50  0.2918E+05   4.465
 12.25  0.3803E+06   5.580     16.25  0.0000E+00   0.000     12.25  0.8935E+05   4.951
 12.00  0.3559E+06   5.551     16.00  0.3809E+05   4.581     12.00  0.1953E+06   5.291
