pcol   Z        age    Mu       Mb       Mv       Mr       Mi       Mj       Mh       Mk       Ml       Mlp      Mm       Mg2      Vb-Ib    Rb-Ib    B-V      R-I      V-I      V-K     KzUbar   KzBbar   KzVbar   KzR_Jbar KzI_Jbar KzJbar   KzHbar   KzKbar   336W     439W     555W     675W     702W     785LP    368M     413M     492M     547M     648M     718M     875M     284W     tonryU   tonryB   tonryV   tonryR   tonryI   RG695v   RG9r     RG780i   RG850    RG1000  sq750    sq800    sq850    sq900    160W     300W     336W     546W     555W     606W     814W (555-814)ord (555-814)SBF (V-I)SBF Kp_bar H-K     H-Kp    STIS_LPbar  NIC_110wbar  NIC_160Wbar
30.23 0.00499  1.00   1.8075   1.3561   1.3816  -0.1561  -1.4022  -2.9970  -6.1667  -7.2152  -7.5790  -7.8036  -8.1543   0.0777   2.7837   1.2460   0.4363   0.4776   0.8047   2.8814  -8.3966  -7.4206   1.7610   1.3321  -0.1876  -1.7879  -3.7892  -6.0563  -7.3884  -7.6546   1.8364   1.4399  -0.0973  -1.5824  -1.8195  -4.0182   1.7507   1.7035   0.6388  -0.1342  -1.4451  -2.0285  -3.7431   2.0705   1.8091   1.2882  -0.1289  -1.4631  -3.3768  -3.1671  -3.3451  -3.7695  -4.2558  -4.8329   4.9924   4.5943  -2.3614  -2.9546  -3.4784  -4.0248   2.5078   2.0101   1.8553   0.7884   0.6526   2.7837  -0.1752   0.2055   0.1449  -0.0698  -0.7615  -2.8578
30.33 0.00499  2.00   2.5778   1.6424   1.6851  -0.1270  -1.3088  -2.8469  -5.7589  -6.8082  -7.2092  -7.4791  -7.8615   0.1173   2.9938   1.1818   0.6614   0.5521   1.0015   2.9324  -8.1629  -7.0366   2.5334   1.6334  -0.1592  -1.6882  -3.4976  -5.6394  -7.0007  -7.3262   2.5904   1.7927  -0.0701  -1.4717  -1.7139  -3.6923   2.4506   2.3667   0.6882  -0.1051  -1.3407  -1.9031  -3.4945   3.2219   2.5837   1.5353  -0.0999  -1.3646  -3.1281  -2.9487  -3.1179  -3.4887  -3.8991  -4.4167   5.9628   5.2214  -2.2403  -2.8113  -3.2828  -3.7059   4.9865   3.0125   2.6230   0.9853   2.3635   2.9938  -0.1444   0.1749   0.1451  -0.0431  -0.7016  -2.6886
30.52 0.00499  5.01   3.2871   2.0418   2.0869   0.3144  -0.7986  -2.2274  -4.1392  -5.4149  -5.6783  -5.9341  -5.9589   0.1495   2.8855   1.1130   0.8131   0.5643   1.0729   2.7103  -6.1235  -5.7196   3.2341   2.0348   0.2816  -1.1568  -2.6686  -4.1474  -5.6771  -5.9018   3.3547   2.2020   0.3682  -0.9520  -1.1793  -2.8004   3.1116   2.8725   1.0933   0.3349  -0.8283  -1.3560  -2.7563   4.4698   3.2912   1.9292   0.3400  -0.8512  -2.3779  -2.2469  -2.4038  -2.6900  -2.9432  -3.1835   6.7734   5.7152  -1.6760  -2.2029  -2.6128  -2.8555   7.2183   4.0388   3.4048   1.0576   3.8135   2.8855   0.2979   0.1173   0.1334   0.3935  -0.2266  -2.0576
30.74 0.00499 10.00   3.5856   2.3001   2.3440   0.6375  -0.4368  -1.8856  -3.8171  -5.0933  -5.3556  -5.6122  -5.6377   0.1777   2.7807   1.0743   0.8832   0.5861   1.1245   2.7889  -5.8132  -5.3982   3.5275   2.2920   0.6042  -0.7940  -2.3388  -3.8248  -5.3542  -5.5797   3.6887   2.4573   0.6898  -0.5806  -0.8133  -2.4757   3.3928   3.1213   1.3833   0.6574  -0.4579  -0.9863  -2.4301   5.1099   3.5893   2.1910   0.6617  -0.4870  -2.0419  -1.9067  -2.0682  -2.3625  -2.6213  -2.8639   7.0877   5.9644  -1.3107  -1.8570  -2.2853  -2.5326   8.7406   4.5009   3.7478   1.1085   4.9928   2.7807   0.6218   0.1193   0.1339   0.7143   0.1204  -1.7105
30.99 0.00499 17.78   2.6529   2.1636   2.1941   0.7530  -0.2602  -1.6142  -3.5109  -4.7784  -5.0388  -5.2938  -5.3199   0.2045   2.4543   1.0133   0.8932   0.5863   1.1356   2.7944  -5.4705  -5.0800   2.6018   2.1444   0.7190  -0.5954  -2.0520  -3.5190  -5.0344  -5.2593   2.6958   2.2754   0.8034  -0.4013  -0.6128  -2.1828   2.5359   2.6654   1.4305   0.7720  -0.2862  -0.7798  -2.1357   3.3191   2.6691   2.0885   0.7754  -0.3090  -1.7651  -1.6365  -1.7895  -2.0722  -2.3253  -2.5663   5.8724   5.5449  -1.0803  -1.5899  -1.9948  -2.2377   5.7809   3.0853   2.7265   1.1194   3.0543   2.4543   0.7387   0.1185   0.1314   0.8265   0.2663  -1.4509
40.23 0.01690  1.00   2.1429   1.9140   1.9325   0.8652  -0.2205  -2.3635  -5.8949  -7.0625  -7.4934  -7.7322  -7.9079   0.1082   2.1530   1.0857   0.5503   0.4845   0.8535   2.8391  -8.1218  -7.4561   2.1039   1.8845   0.8299  -0.7095  -3.3179  -5.8410  -7.4149  -7.6283   2.1205   1.9631   0.9106  -0.3372  -0.7234  -3.5828   2.0834   2.1783   1.4006   0.8818  -0.1859  -0.9584  -3.2919   2.6050   2.1506   1.8560   0.8855  -0.2699  -2.8477  -2.5874  -2.8093  -3.3071  -3.8438  -4.4411   5.3877   5.0653  -1.4168  -2.2785  -2.9925  -3.5991   4.3408   2.4207   2.1369   0.8383   2.2039   2.1530   0.8516   0.2041   0.2069   0.9319   0.4091  -2.1838
40.33 0.01690  2.00   3.2280   2.5090   2.5472   0.9356  -0.1141  -1.6512  -5.0104  -6.1707  -6.6131  -6.8476  -7.0500   0.1628   2.6613   1.0497   0.7605   0.5431   1.0211   2.9637  -7.3162  -6.5647   3.1935   2.4967   0.9032  -0.4658  -2.4649  -4.9519  -6.5202  -6.7203   3.1807   2.6303   0.9849  -0.2367  -0.4797  -2.6967   3.1209   3.1731   1.6678   0.9517  -0.1277  -0.6524  -2.4074   3.9832   3.2349   2.3948   0.9583  -0.1607  -2.0471  -1.8304  -2.0118  -2.4404  -2.9374  -3.5446   6.6488   6.0415  -0.9881  -1.6008  -2.1431  -2.6932   7.1093   3.6650   3.2111   1.0081   3.8982   2.6613   0.9134   0.1685   0.1738   1.0067   0.4361  -1.5105
40.52 0.01690  5.01   4.2441   2.9835   3.0281   1.3429   0.3271  -1.1777  -4.1663  -5.3312  -5.7340  -5.9758  -6.1386   0.2245   2.7010   1.0158   0.9282   0.5973   1.1497   3.0787  -6.4086  -5.7088   4.2014   2.9767   1.3103  -0.0168  -1.9063  -4.1246  -5.6625  -5.8701   4.2488   3.1308   1.3912   0.2136  -0.0269  -2.1203   4.0987   3.8687   2.0842   1.3581   0.3195  -0.1941  -1.8946   5.3826   4.2400   2.8535   1.3653   0.2832  -1.5189  -1.3210  -1.5000  -1.8980  -2.3434  -2.8616   7.7942   6.7328  -0.5222  -1.1278  -1.6598  -2.1420   9.4558   4.9191   4.2910   1.1343   5.1648   2.7010   1.3206   0.1492   0.1600   1.4123   0.8585  -1.0295
40.74 0.01690 10.00   4.7688   3.2925   3.3376   1.6717   0.6862  -0.7894  -3.8491  -5.0115  -5.4163  -5.6561  -5.8289   0.2650   2.6514   0.9855   1.0075   0.6188   1.2078   3.1620  -6.1063  -5.3863   4.7178   3.2862   1.6388   0.3497  -1.5362  -3.8040  -5.3381  -5.5405   4.8258   3.4445   1.7198   0.5766   0.3415  -1.7532   4.6038   4.2270   2.3984   1.6868   0.6791   0.1786  -1.5083   6.2806   4.7572   3.1632   1.6936   0.6436  -1.1446  -0.9440  -1.1206  -1.5227  -1.9796  -2.5212   8.3766   7.0920  -0.1421  -0.7395  -1.2683  -1.7673  11.1885   5.6448   4.8731   1.1912   6.3154   2.6514   1.6504   0.1488   0.1577   1.7406   1.2021  -0.6475
40.99 0.01690 17.78   4.8340   3.3943   3.4370   1.8582   0.9243  -0.5213  -3.7612  -4.8983  -5.3267  -5.5669  -5.7941   0.3034   2.5128   0.9340   1.0762   0.6409   1.2641   3.2625  -6.0885  -5.2631   4.7819   3.3858   1.8245   0.5967  -1.3011  -3.6965  -5.2131  -5.4284   4.9040   3.5407   1.9064   0.8189   0.5908  -1.5216   4.6676   4.2761   2.5349   1.8738   0.9169   0.4324  -1.2482   6.6614   4.8232   3.2748   1.8787   0.8832  -0.8994  -0.6925  -0.8666  -1.2775  -1.7519  -2.3333   8.4584   7.1365   0.1202  -0.4704  -0.9997  -1.5212  12.9565   5.8112   4.9515   1.2457   8.0050   2.5128   1.8397   0.1542   0.1582   1.9270   1.4168  -0.3861
