( Z, Y, Age) = 0.009504   0.254   8.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 -3.00  0.6926E+01   0.840      1.00  0.1148E+03   2.060     -3.00  0.0000E+00   0.000
 -3.25  0.6579E+01   0.818      0.75  0.3931E+03   2.595     -3.25  0.0000E+00   0.000
 -3.50  0.5523E+01   0.742      0.50  0.3024E+03   2.481     -3.50  0.0000E+00   0.000
 -3.75  0.2505E+01   0.399      0.25  0.4960E+02   1.695     -3.75  0.0000E+00   0.000
 -4.00  0.7263E+00  -0.139      0.00  0.4207E+02   1.624     -4.00  0.0000E+00   0.000
 -4.25  0.6244E+00  -0.205     -0.25  0.3482E+02   1.542     -4.25  0.0000E+00   0.000
 -4.50  0.5463E+00  -0.263     -0.50  0.3089E+02   1.490     -4.50  0.0000E+00   0.000
 -4.75  0.4797E+00  -0.319     -0.75  0.2656E+02   1.424     -4.75  0.0000E+00   0.000
 -5.00  0.3254E+00  -0.488     -1.00  0.3992E+02   1.601     -5.00  0.0000E+00   0.000
 -5.25  0.1048E-01  -1.980     -1.25  0.8630E+01   0.936     -5.25  0.0000E+00   0.000
 -5.50  0.0000E+00   0.000     -1.50  0.0000E+00   0.000     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.0000E+00   0.000     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.0000E+00   0.000     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.1080E+06   5.033     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.1200E+06   5.079     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.1244E+06   5.095     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.1356E+06   5.132     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.1449E+06   5.161     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.1511E+06   5.179     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.1206E+06   5.081     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00 -0.2254E+05   0.000     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.3042E+06   5.483     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50  0.1346E+06   5.129     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.1258E+06   5.100     -8.75  0.0000E+00   0.000
 -9.00  0.0000E+00   0.000     -5.00  0.1054E+06   5.023     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25 -0.3355E+05   0.000     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50  0.2852E+06   5.455     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.009504   0.254   9.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.1009E+06   5.004     16.75  0.0000E+00   0.000     12.75  0.3363E+06   5.527
 12.50  0.3758E+06   5.575     16.50  0.1822E+05   4.261     12.50  0.2524E+05   4.402
 12.25  0.3325E+06   5.522     16.25  0.1184E+06   5.074     12.25  0.5520E+05   4.742
 12.00  0.4088E+06   5.612     16.00  0.2062E+06   5.314     12.00  0.1927E+06   5.285
 11.75  0.3886E+06   5.589     15.75  0.2510E+06   5.400     11.75  0.6210E+05   4.793
 11.50  0.3966E+06   5.598     15.50  0.2696E+06   5.431     11.50  0.1556E+06   5.192
 11.25  0.4705E+06   5.673     15.25  0.2841E+06   5.453     11.25  0.1564E+06   5.194
 11.00  0.3886E+06   5.590     15.00  0.2971E+06   5.473     11.00  0.1366E+06   5.135
 10.75  0.3675E+06   5.565     14.75  0.2400E+06   5.380     10.75  0.1128E+06   5.052
 10.50  0.3598E+06   5.556     14.50  0.2424E+06   5.385     10.50  0.9702E+05   4.987
 10.25  0.3142E+06   5.497     14.25  0.2513E+06   5.400     10.25  0.8244E+05   4.916
 10.00  0.2494E+06   5.397     14.00  0.2559E+06   5.408     10.00  0.7174E+05   4.856
  9.75  0.2142E+06   5.331     13.75  0.2728E+06   5.436      9.75  0.6177E+05   4.791
  9.50  0.1817E+06   5.259     13.50  0.2705E+06   5.432      9.50  0.5144E+05   4.711
  9.25  0.1528E+06   5.184     13.25  0.2176E+06   5.338      9.25  0.4319E+05   4.635
  9.00  0.1272E+06   5.105     13.00  0.2081E+06   5.318      9.00  0.3696E+05   4.568
  8.75  0.1023E+06   5.010     12.75  0.1918E+06   5.283      8.75  0.3211E+05   4.507
  8.50  0.7586E+05   4.880     12.50  0.1226E+06   5.088      8.50  0.2792E+05   4.446
  8.25  0.6250E+05   4.796     12.25  0.1299E+06   5.114      8.25  0.2447E+05   4.389
  8.00  0.5531E+05   4.743     12.00  0.1491E+06   5.173      8.00  0.2225E+05   4.347
  7.75  0.4225E+05   4.626     11.75  0.7866E+05   4.896      7.75  0.2001E+05   4.301
  7.50  0.3869E+05   4.588     11.50  0.1692E+06   5.228      7.50  0.1873E+05   4.273
  7.25  0.3126E+05   4.495     11.25  0.1331E+06   5.124      7.25  0.1682E+05   4.226
  7.00  0.2865E+05   4.457     11.00  0.1389E+06   5.143      7.00  0.1654E+05   4.219
  6.75  0.2505E+05   4.399     10.75  0.1224E+06   5.088      6.75  0.1632E+05   4.213
  6.50  0.2290E+05   4.360     10.50  0.1060E+06   5.025      6.50  0.1527E+05   4.184
  6.25  0.2089E+05   4.320     10.25  0.9254E+05   4.966      6.25  0.1554E+05   4.192
  6.00  0.1902E+05   4.279     10.00  0.7759E+05   4.890      6.00  0.1455E+05   4.163
  5.75  0.1763E+05   4.246      9.75  0.6448E+05   4.809      5.75  0.1431E+05   4.156
  5.50  0.1619E+05   4.209      9.50  0.5445E+05   4.736      5.50  0.1389E+05   4.143
  5.25  0.1450E+05   4.161      9.25  0.4564E+05   4.659      5.25  0.1227E+05   4.089
  5.00  0.1348E+05   4.130      9.00  0.3877E+05   4.589      5.00  0.1198E+05   4.079
  4.75  0.1204E+05   4.081      8.75  0.3364E+05   4.527      4.75  0.1066E+05   4.028
  4.50  0.1056E+05   4.023      8.50  0.3019E+05   4.480      4.50  0.9739E+04   3.989
  4.25  0.9303E+04   3.969      8.25  0.2590E+05   4.413      4.25  0.8152E+04   3.911
  4.00  0.7207E+04   3.858      8.00  0.2253E+05   4.353      4.00  0.7055E+04   3.848
  3.75  0.6696E+04   3.826      7.75  0.2018E+05   4.305      3.75  0.7131E+04   3.853
  3.50  0.6269E+04   3.797      7.50  0.1945E+05   4.289      3.50  0.5570E+04   3.746
  3.25  0.3266E+04   3.514      7.25  0.1798E+05   4.255      3.25  0.9068E+03   2.958
  3.00  0.7899E+03   2.898      7.00  0.1656E+05   4.219      3.00  0.7710E+03   2.887
  2.75  0.7421E+03   2.870      6.75  0.1634E+05   4.213      2.75  0.6062E+03   2.783
  2.50  0.6768E+03   2.830      6.50  0.1613E+05   4.208      2.50  0.4500E+03   2.653
  2.25  0.4916E+03   2.692      6.25  0.1509E+05   4.179      2.25  0.3580E+03   2.554
  2.00  0.4070E+03   2.610      6.00  0.1533E+05   4.186      2.00  0.2823E+03   2.451
  1.75  0.3070E+03   2.487      5.75  0.1414E+05   4.151      1.75  0.2371E+03   2.375
  1.50  0.2518E+03   2.401      5.50  0.1389E+05   4.143      1.50  0.1940E+03   2.288
  1.25  0.2187E+03   2.340      5.25  0.1311E+05   4.118      1.25  0.1607E+03   2.206
  1.00  0.1653E+03   2.218      5.00  0.1166E+05   4.067      1.00  0.2792E+03   2.446
  0.75  0.1540E+03   2.187      4.75  0.1136E+05   4.055      0.75  0.9651E+03   2.985
  0.50  0.1898E+03   2.278      4.50  0.9862E+04   3.994      0.50  0.2990E+03   2.476
  0.25  0.1227E+04   3.089      4.25  0.8513E+04   3.930      0.25  0.9452E+02   1.976
  0.00  0.1030E+03   2.013      4.00  0.6952E+04   3.842      0.00  0.7826E+02   1.894
 -0.25  0.8008E+02   1.904      3.75  0.7007E+04   3.846     -0.25  0.6582E+02   1.818
 -0.50  0.7663E+02   1.884      3.50  0.6616E+04   3.821     -0.50  0.5925E+02   1.773
 -0.75  0.5676E+02   1.754      3.25  0.1254E+04   3.098     -0.75  0.6488E+02   1.812
 -1.00  0.5487E+02   1.739      3.00  0.7413E+03   2.870     -1.00  0.6022E+02   1.780
 -1.25  0.4040E+02   1.606      2.75  0.6801E+03   2.833     -1.25  0.3617E+00  -0.442
 -1.50  0.3909E+02   1.592      2.50  0.4829E+03   2.684     -1.50  0.0000E+00   0.000
 -1.75  0.2898E+02   1.462      2.25  0.3763E+03   2.576     -1.75  0.0000E+00   0.000
 -2.00  0.2727E+02   1.436      2.00  0.3021E+03   2.480     -2.00  0.0000E+00   0.000
 -2.25  0.2195E+02   1.341      1.75  0.2496E+03   2.397     -2.25  0.0000E+00   0.000
 -2.50  0.1900E+02   1.279      1.50  0.1973E+03   2.295     -2.50  0.0000E+00   0.000
 -2.75  0.1705E+02   1.232      1.25  0.1704E+03   2.231     -2.75  0.0000E+00   0.000
 -3.00  0.1359E+02   1.133      1.00  0.2417E+03   2.383     -3.00  0.0000E+00   0.000
 -3.25  0.1297E+02   1.113      0.75  0.7344E+03   2.866     -3.25  0.0000E+00   0.000
 -3.50  0.1079E+02   1.033      0.50  0.5812E+03   2.764     -3.50  0.0000E+00   0.000
 -3.75  0.5025E+01   0.701      0.25  0.9812E+02   1.992     -3.75  0.0000E+00   0.000
 -4.00  0.1376E+01   0.139      0.00  0.8252E+02   1.917     -4.00  0.0000E+00   0.000
 -4.25  0.1180E+01   0.072     -0.25  0.6869E+02   1.837     -4.25  0.0000E+00   0.000
 -4.50  0.1030E+01   0.013     -0.50  0.6008E+02   1.779     -4.50  0.0000E+00   0.000
 -4.75  0.9010E+00  -0.045     -0.75  0.5634E+02   1.751     -4.75  0.0000E+00   0.000
 -5.00  0.6077E+00  -0.216     -1.00  0.7811E+02   1.893     -5.00  0.0000E+00   0.000
 -5.25  0.1048E-01  -1.980     -1.25  0.9752E+01   0.989     -5.25  0.0000E+00   0.000
 -5.50  0.0000E+00   0.000     -1.50  0.0000E+00   0.000     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.0000E+00   0.000     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.0000E+00   0.000     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.2149E+06   5.332     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.2409E+06   5.382     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.2480E+06   5.394     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.2713E+06   5.433     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.2895E+06   5.462     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.3010E+06   5.479     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.2447E+06   5.389     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00  0.1038E+06   5.016     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.2982E+06   5.475     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50  0.4292E+06   5.633     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.2521E+06   5.402     -8.75  0.0000E+00   0.000
 -9.00  0.0000E+00   0.000     -5.00  0.2143E+06   5.331     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25  0.7056E+05   4.849     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50  0.2740E+06   5.438     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.009504   0.254  10.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.1521E+06   5.182     16.75  0.0000E+00   0.000     12.75  0.6449E+06   5.809
 12.50  0.5621E+06   5.750     16.50  0.2719E+05   4.434     12.50 -0.1817E+05   0.000
 12.25  0.4976E+06   5.697     16.25  0.1768E+06   5.247     12.25  0.1098E+06   5.040
 12.00  0.6195E+06   5.792     16.00  0.3108E+06   5.492     12.00  0.2516E+06   5.401
 11.75  0.5743E+06   5.759     15.75  0.3753E+06   5.574     11.75  0.1344E+06   5.128
 11.50  0.6099E+06   5.785     15.50  0.4044E+06   5.607     11.50  0.2115E+06   5.325
 11.25  0.6892E+06   5.838     15.25  0.4291E+06   5.633     11.25  0.2328E+06   5.367
 11.00  0.5812E+06   5.764     15.00  0.4379E+06   5.641     11.00  0.2045E+06   5.311
 10.75  0.5629E+06   5.750     14.75  0.3679E+06   5.566     10.75  0.1760E+06   5.246
 10.50  0.5434E+06   5.735     14.50  0.3657E+06   5.563     10.50  0.1475E+06   5.169
 10.25  0.4578E+06   5.661     14.25  0.3780E+06   5.577     10.25  0.1228E+06   5.089
 10.00  0.3746E+06   5.574     14.00  0.3835E+06   5.584     10.00  0.1060E+06   5.025
  9.75  0.3229E+06   5.509     13.75  0.3902E+06   5.591      9.75  0.9201E+05   4.964
  9.50  0.2788E+06   5.445     13.50  0.4108E+06   5.614      9.50  0.7647E+05   4.883
  9.25  0.2313E+06   5.364     13.25  0.3423E+06   5.534      9.25  0.6433E+05   4.808
  9.00  0.1867E+06   5.271     13.00  0.3137E+06   5.497      9.00  0.5503E+05   4.741
  8.75  0.1502E+06   5.177     12.75  0.2498E+06   5.398      8.75  0.4786E+05   4.680
  8.50  0.1142E+06   5.058     12.50  0.2356E+06   5.372      8.50  0.4263E+05   4.630
  8.25  0.9778E+05   4.990     12.25  0.1539E+06   5.187      8.25  0.3683E+05   4.566
  8.00  0.7893E+05   4.897     12.00  0.2518E+06   5.401      8.00  0.3288E+05   4.517
  7.75  0.6522E+05   4.814     11.75  0.1119E+06   5.049      7.75  0.2962E+05   4.472
  7.50  0.5604E+05   4.748     11.50  0.2373E+06   5.375      7.50  0.2755E+05   4.440
  7.25  0.4809E+05   4.682     11.25  0.2158E+06   5.334      7.25  0.2619E+05   4.418
  7.00  0.4244E+05   4.628     11.00  0.2084E+06   5.319      7.00  0.2441E+05   4.388
  6.75  0.3735E+05   4.572     10.75  0.1831E+06   5.263      6.75  0.2388E+05   4.378
  6.50  0.3410E+05   4.533     10.50  0.1581E+06   5.199      6.50  0.2343E+05   4.370
  6.25  0.3103E+05   4.492     10.25  0.1368E+06   5.136      6.25  0.2240E+05   4.350
  6.00  0.2829E+05   4.452     10.00  0.1152E+06   5.061      6.00  0.2243E+05   4.351
  5.75  0.2672E+05   4.427      9.75  0.9734E+05   4.988      5.75  0.2059E+05   4.314
  5.50  0.2353E+05   4.372      9.50  0.8145E+05   4.911      5.50  0.2077E+05   4.318
  5.25  0.2174E+05   4.337      9.25  0.6818E+05   4.834      5.25  0.1837E+05   4.264
  5.00  0.1938E+05   4.287      9.00  0.5798E+05   4.763      5.00  0.1742E+05   4.241
  4.75  0.1830E+05   4.263      8.75  0.5027E+05   4.701      4.75  0.1573E+05   4.197
  4.50  0.1536E+05   4.186      8.50  0.4460E+05   4.649      4.50  0.1420E+05   4.152
  4.25  0.1328E+05   4.123      8.25  0.3859E+05   4.587      4.25  0.1163E+05   4.065
  4.00  0.1074E+05   4.031      8.00  0.3437E+05   4.536      4.00  0.1041E+05   4.017
  3.75  0.9599E+04   3.982      7.75  0.3091E+05   4.490      3.75  0.1093E+05   4.038
  3.50  0.8817E+04   3.945      7.50  0.2853E+05   4.455      3.50  0.6218E+04   3.794
  3.25  0.3738E+04   3.573      7.25  0.2636E+05   4.421      3.25  0.1337E+04   3.126
  3.00  0.1189E+04   3.075      7.00  0.2562E+05   4.409      3.00  0.1155E+04   3.063
  2.75  0.1100E+04   3.041      6.75  0.2397E+05   4.380      2.75  0.9072E+03   2.958
