  pcol   Z       age   %lost  Hd/4045  Hd/4063  Sr/4045  Sr/4063   pGband  Hg/4325 4289/271  4384/352 P[Fe/H]   Ca II   3888/859 p(220)/p(209) HgamHR CaIHR 4045HR   HdelHR   LickHdA  LickHdF  Ca4227   G4300    LickHgA  LickHgF  Fe4383   CN_1     CN_2     Hbeta    Fe5015     Mg1     Mg2      Mgb     Fe5270   Fe5335   Fe5406  DBalmer
 40.84 0.01690  13.00000   0.02  1.09487  1.07365  1.08087  1.05993  1.13246  1.08474  1.02576  0.78579  1.20109  1.23398  1.06427  1.02048  0.94575  1.31403  0.92700  1.04099 -2.34824 -0.16233  0.86222  4.13189 -4.63928 -1.40088  5.58654  0.05677  0.09894 -3.08467  3.83713 -0.02130  0.12781  2.38717  4.68775  2.69539  1.41257  1.38441
 40.87 0.01690  14.00000   0.02  1.10517  1.08256  1.08556  1.06335  1.16306  1.09225  1.02986  0.78218  1.20429  1.23447  1.07981  1.02113  0.94186  1.33754  0.94523  1.03986 -2.38938 -0.16159  0.88207  4.20979 -4.70267 -1.42490  5.67532  0.05724  0.10036 -3.15388  3.99884 -0.01862  0.13178  2.43164  4.69233  2.73266  1.42327  1.38340
 40.91 0.01690  15.00000   0.02  1.11498  1.09103  1.09038  1.06695  1.18877  1.09881  1.03320  0.77866  1.20755  1.23513  1.09588  1.02151  0.93731  1.36044  0.96208  1.03827 -2.42125 -0.16213  0.90023  4.27195 -4.75489 -1.44349  5.74840  0.05751  0.10149 -3.25879  4.15563 -0.01632  0.13543  2.46860  4.69809  2.76593  1.42658  1.38250
 40.94 0.01690  16.00000   0.02  1.12582  1.09889  1.09794  1.07167  1.23464  1.10590  1.03794  0.77415  1.21113  1.23327  1.10664  1.02120  0.93940  1.39489  0.98914  1.04468 -2.52165 -0.16359  0.95184  4.40230 -4.89737 -1.50208  5.94965  0.05830  0.10409 -3.16532  4.27957 -0.00958  0.14278  2.57418  4.68461  2.82609  1.48322  1.38091
 40.96 0.01690  17.00000   0.03  1.13404  1.10602  1.10155  1.07433  1.25597  1.11164  1.04119  0.77164  1.21352  1.23333  1.12001  1.02181  0.93564  1.41275  1.00251  1.04358 -2.54827 -0.16313  0.96466  4.45350 -4.93703 -1.51708  6.00536  0.05859  0.10507 -3.24258  4.40070 -0.00755  0.14575  2.60247  4.68661  2.85126  1.48631  1.38051
 41.66 0.03005   8.00000   0.03  1.08847  1.07964  1.08349  1.07471  0.96163  1.02798  1.01534  0.77666  1.22291  1.24372  1.04714  1.02780  0.97877  1.33942  0.93270  1.10630 -2.22542 -0.13374  0.84943  3.56132 -4.64626 -1.39306  5.50230  0.06904  0.10749 -4.69535  3.89505 -0.03438  0.13972  2.50609  4.95483  2.69032  1.30989  1.38784
 41.70 0.03005   9.00000   0.03  1.10955  1.09718  1.09403  1.08183  1.00894  1.03434  1.02345  0.76920  1.23117  1.24419  1.06738  1.02949  0.97528  1.39783  0.97113  1.11137 -2.28470 -0.12750  0.90248  3.68771 -4.79988 -1.45292  5.70390  0.07071  0.11126 -4.80093  4.29408 -0.02644  0.15161  2.64839  4.95816  2.78445  1.35088  1.38400
 41.74 0.03005  10.00000   0.03  1.12648  1.10999  1.10478  1.08861  1.06712  1.03987  1.03071  0.76353  1.23706  1.24223  1.08712  1.03082  0.97687  1.44414  1.01112  1.11733 -2.43285 -0.12924  0.96338  3.87400 -4.99199 -1.52059  5.96759  0.07394  0.11680 -4.66663  4.52685 -0.01858  0.16056  2.78767  4.93521  2.85184  1.40823  1.38227
 41.78 0.03005  11.00000   0.04  1.14027  1.12175  1.11141  1.09336  1.08988  1.04423  1.03506  0.75937  1.24192  1.24339  1.10507  1.03124  0.97088  1.47604  1.03315  1.11724 -2.46412 -0.12926  0.98440  3.93011 -5.04986 -1.54160  6.03522  0.07435  0.11810 -4.80231  4.73276 -0.01604  0.16525  2.84851  4.94313  2.88531  1.40264  1.38086
 41.81 0.03005  12.00000   0.07  1.15765  1.13387  1.12362  1.10054  1.15942  1.05108  1.04352  0.75325  1.24776  1.24123  1.12593  1.03286  0.97497  1.52845  1.07765  1.12586 -2.64003 -0.13217  1.05269  4.15352 -5.27637 -1.62143  6.34888  0.07857  0.12502 -4.58502  4.95598 -0.00636  0.17478  2.99761  4.90820  2.96189  1.47482  1.37898
 41.84 0.03005  13.00000   0.13  1.16861  1.14306  1.12890  1.10422  1.17984  1.05724  1.04748  0.74977  1.25152  1.24169  1.13833  1.03358  0.97116  1.55492  1.09519  1.12649 -2.67204 -0.13165  1.06972  4.20120 -5.33030 -1.64051  6.41455  0.07940  0.12666 -4.66784  5.10734 -0.00343  0.17911  3.04794  4.90866  2.98721  1.47378  1.37738
 41.87 0.03005  14.00000   0.13  1.18001  1.15216  1.13437  1.10760  1.19830  1.05940  1.05166  0.74687  1.25507  1.24247  1.15038  1.03422  0.96783  1.58293  1.11341  1.12795 -2.70055 -0.12941  1.08861  4.25275 -5.38462 -1.66051  6.48289  0.08023  0.12835 -4.73258  5.26795 -0.00063  0.18355  3.10933  4.90492  3.01219  1.47248  1.37578
 41.91 0.03005  15.00000   0.14  1.19649  1.16182  1.14693  1.11369  1.27208  1.06324  1.05948  0.74161  1.25985  1.23967  1.16670  1.03545  0.97646  1.63606  1.15853  1.14016 -2.90232 -0.13334  1.16946  4.50119 -5.63422 -1.74682  6.83280  0.08485  0.13609 -4.39150  5.44916  0.01015  0.19372  3.28386  4.85199  3.08688  1.56293  1.37428
 41.94 0.03005  16.00000   0.15  1.20487  1.16759  1.15177  1.11613  1.28343  1.06344  1.06083  0.73924  1.26276  1.24083  1.17229  1.03333  0.97425  1.66256  1.17330  1.14506 -2.90280 -0.12677  1.19949  4.52419 -5.67819 -1.76520  6.88464  0.08356  0.13560 -4.45751  5.57316  0.01321  0.19859  3.35380  4.85023  3.11105  1.57199  1.37204
 41.96 0.03005  17.00000   0.21  1.21385  1.17395  1.15690  1.11887  1.30671  1.06766  1.06501  0.73650  1.26560  1.24187  1.18259  1.03375  0.97295  1.69067  1.18998  1.14817 -2.92996 -0.12504  1.21776  4.58795 -5.73883 -1.78903  6.96721  0.08464  0.13761 -4.46303  5.70313  0.01681  0.20261  3.40801  4.83661  3.13768  1.58019  1.37057
