( Z, Y, Age) = 0.007549   0.249   1.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 -3.00  0.6585E+01   0.819      1.00  0.3292E+04   3.517     -3.00  0.0000E+00   0.000
 -3.25  0.6289E+01   0.799      0.75  0.2495E+04   3.397     -3.25  0.0000E+00   0.000
 -3.50  0.5636E+01   0.751      0.50  0.1402E+04   3.147     -3.50  0.0000E+00   0.000
 -3.75  0.5661E+01   0.753      0.25  0.4591E+03   2.662     -3.75  0.0000E+00   0.000
 -4.00  0.5768E+01   0.761      0.00  0.1102E+03   2.042     -4.00  0.0000E+00   0.000
 -4.25  0.5998E+01   0.778     -0.25  0.2252E+03   2.353     -4.25  0.0000E+00   0.000
 -4.50  0.6262E+01   0.797     -0.50  0.1629E+03   2.212     -4.50  0.0000E+00   0.000
 -4.75  0.6620E+01   0.821     -0.75  0.1007E+03   2.003     -4.75  0.0000E+00   0.000
 -5.00  0.6892E+01   0.838     -1.00  0.4012E+02   1.603     -5.00  0.0000E+00   0.000
 -5.25  0.4636E+01   0.666     -1.25  0.2052E+02   1.312     -5.25  0.0000E+00   0.000
 -5.50  0.1264E-01  -1.898     -1.50  0.1425E+02   1.154     -5.50  0.0000E+00   0.000
 -5.75  0.0000E+00   0.000     -1.75  0.1190E+02   1.076     -5.75  0.0000E+00   0.000
 -6.00  0.0000E+00   0.000     -2.00  0.1425E+02   1.154     -6.00  0.0000E+00   0.000
 -6.25  0.0000E+00   0.000     -2.25  0.1912E+02   1.282     -6.25  0.0000E+00   0.000
 -6.50  0.0000E+00   0.000     -2.50  0.4542E+01   0.657     -6.50  0.0000E+00   0.000
 -6.75  0.0000E+00   0.000     -2.75  0.0000E+00   0.000     -6.75  0.0000E+00   0.000
 -7.00  0.0000E+00   0.000     -3.00  0.0000E+00   0.000     -7.00  0.0000E+00   0.000
 -7.25  0.0000E+00   0.000     -3.25  0.0000E+00   0.000     -7.25  0.0000E+00   0.000
 -7.50  0.0000E+00   0.000     -3.50  0.0000E+00   0.000     -7.50  0.0000E+00   0.000
 -7.75  0.0000E+00   0.000     -3.75  0.0000E+00   0.000     -7.75  0.0000E+00   0.000
 -8.00  0.0000E+00   0.000     -4.00  0.0000E+00   0.000     -8.00  0.0000E+00   0.000
 -8.25  0.0000E+00   0.000     -4.25  0.0000E+00   0.000     -8.25  0.0000E+00   0.000
 -8.50  0.0000E+00   0.000     -4.50  0.0000E+00   0.000     -8.50  0.0000E+00   0.000
 -8.75  0.0000E+00   0.000     -4.75  0.0000E+00   0.000     -8.75  0.0000E+00   0.000
 -9.00  0.0000E+00   0.000     -5.00  0.0000E+00   0.000     -9.00  0.0000E+00   0.000
 -9.25  0.0000E+00   0.000     -5.25  0.0000E+00   0.000     -9.25  0.0000E+00   0.000
 -9.50  0.0000E+00   0.000     -5.50  0.0000E+00   0.000     -9.50  0.0000E+00   0.000
( Z, Y, Age) = 0.007549   0.249   2.000
 Mbol       dN       log dN    V       dN       log dN     I         dN       log dN
 12.75  0.0000E+00   0.000     16.75  0.0000E+00   0.000     12.75  0.0000E+00   0.000
 12.50  0.0000E+00   0.000     16.50  0.0000E+00   0.000     12.50  0.0000E+00   0.000
 12.25  0.0000E+00   0.000     16.25  0.0000E+00   0.000     12.25  0.0000E+00   0.000
 12.00  0.0000E+00   0.000     16.00  0.0000E+00   0.000     12.00  0.0000E+00   0.000
 11.75  0.0000E+00   0.000     15.75  0.0000E+00   0.000     11.75  0.0000E+00   0.000
 11.50  0.0000E+00   0.000     15.50  0.0000E+00   0.000     11.50  0.0000E+00   0.000
 11.25  0.0000E+00   0.000     15.25  0.0000E+00   0.000     11.25  0.0000E+00   0.000
 11.00  0.0000E+00   0.000     15.00  0.0000E+00   0.000     11.00  0.0000E+00   0.000
 10.75  0.0000E+00   0.000     14.75  0.0000E+00   0.000     10.75  0.0000E+00   0.000
 10.50  0.0000E+00   0.000     14.50  0.0000E+00   0.000     10.50  0.0000E+00   0.000
 10.25  0.0000E+00   0.000     14.25  0.0000E+00   0.000     10.25  0.0000E+00   0.000
 10.00  0.0000E+00   0.000     14.00  0.0000E+00   0.000     10.00  0.0000E+00   0.000
  9.75  0.0000E+00   0.000     13.75  0.0000E+00   0.000      9.75  0.0000E+00   0.000
  9.50  0.0000E+00   0.000     13.50  0.0000E+00   0.000      9.50  0.0000E+00   0.000
  9.25  0.0000E+00   0.000     13.25  0.0000E+00   0.000      9.25  0.0000E+00   0.000
  9.00  0.0000E+00   0.000     13.00  0.0000E+00   0.000      9.00  0.1734E+05   4.239
  8.75  0.0000E+00   0.000     12.75  0.0000E+00   0.000      8.75  0.3739E+05   4.573
  8.50  0.0000E+00   0.000     12.50  0.0000E+00   0.000      8.50  0.3843E+05   4.585
  8.25  0.0000E+00   0.000     12.25  0.0000E+00   0.000      8.25  0.3217E+05   4.507
  8.00  0.2472E+05   4.393     12.00  0.0000E+00   0.000      8.00  0.2749E+05   4.439
  7.75  0.5091E+05   4.707     11.75  0.0000E+00   0.000      7.75  0.2147E+05   4.332
  7.50  0.4270E+05   4.630     11.50  0.0000E+00   0.000      7.50  0.2302E+05   4.362
  7.25  0.3831E+05   4.583     11.25  0.0000E+00   0.000      7.25  0.2088E+05   4.320
  7.00  0.3189E+05   4.504     11.00  0.0000E+00   0.000      7.00  0.2076E+05   4.317
  6.75  0.2998E+05   4.477     10.75  0.0000E+00   0.000      6.75  0.1951E+05   4.290
  6.50  0.2717E+05   4.434     10.50  0.0000E+00   0.000      6.50  0.1936E+05   4.287
  6.25  0.2535E+05   4.404     10.25  0.0000E+00   0.000      6.25  0.1882E+05   4.275
  6.00  0.2353E+05   4.372     10.00  0.0000E+00   0.000      6.00  0.1842E+05   4.265
  5.75  0.2179E+05   4.338      9.75  0.0000E+00   0.000      5.75  0.1818E+05   4.260
  5.50  0.2037E+05   4.309      9.50  0.0000E+00   0.000      5.50  0.1741E+05   4.241
  5.25  0.1924E+05   4.284      9.25  0.0000E+00   0.000      5.25  0.1660E+05   4.220
  5.00  0.1721E+05   4.236      9.00  0.9955E+04   3.998      5.00  0.1562E+05   4.194
  4.75  0.1601E+05   4.205      8.75  0.2996E+05   4.477      4.75  0.1491E+05   4.174
  4.50  0.1536E+05   4.186      8.50  0.4276E+05   4.631      4.50  0.1393E+05   4.144
  4.25  0.1398E+05   4.145      8.25  0.3257E+05   4.513      4.25  0.1291E+05   4.111
  4.00  0.1272E+05   4.104      8.00  0.2931E+05   4.467      4.00  0.1197E+05   4.078
